signal_date,code,name,strategy,entry_price,model_version,return_5d,mfe_5d,mae_5d,exit_date_5d,return_10d,mfe_10d,mae_10d,exit_date_10d
2026-08-31,8591,オリックス,A_EARLY,6284.0,7.1-EARLY-RESEARCH-R2,-1.3208147676639137,4.758115849777211,-1.8300445576066249,2026-09-07,,,,
2026-09-01,1801,大成建設,B_EARLY_CONFIRMED,12995.0,7.1-EARLY-RESEARCH-R2,1.1542901115813686,2.731819930742585,-4.732589457483649,2026-09-08,,,,
2026-09-01,8804,東京建物,B_EARLY_CONFIRMED,3472.0,7.1-EARLY-RESEARCH-R2,-3.686635944700456,-1.008064516129037,-4.665898617511521,2026-09-08,,,,
2026-09-01,1802,大林組,B_EARLY_CONFIRMED,3065.0,7.1-EARLY-RESEARCH-R2,-0.4893964110929905,1.044045676998362,-2.6264274061990167,2026-09-08,,,,
2026-09-01,5406,神戸製鋼所,B_EARLY_CONFIRMED,2064.0,7.1-EARLY-RESEARCH-R2,-3.0523255813953543,0.4844961240310086,-3.0523255813953543,2026-09-08,,,,
2026-09-01,3092,ＺＯＺＯ,B_EARLY_CONFIRMED,1171.5,7.1-EARLY-RESEARCH-R2,-3.1156636790439562,-1.1523687580025643,-4.139991463935122,2026-09-08,,,,
2026-09-01,6902,デンソー,B_EARLY_CONFIRMED,1981.0,7.1-EARLY-RESEARCH-R2,-5.1489146895507325,-1.4386673397274063,-5.1489146895507325,2026-09-08,,,,
2026-09-01,8002,丸紅,B_EARLY_CONFIRMED,5122.0,7.1-EARLY-RESEARCH-R2,-0.8199921905505669,2.713783678250681,-2.5185474424053056,2026-09-08,,,,
2026-09-01,8750,第一ライフグループ,B_EARLY_CONFIRMED,1868.5,7.1-EARLY-RESEARCH-R2,-2.4618678084024626,2.5956649719026004,-2.4618678084024626,2026-09-08,,,,
2026-09-01,8058,三菱商事,B_EARLY_CONFIRMED,4956.0,7.1-EARLY-RESEARCH-R2,-0.5851493139628738,3.3696529459241287,-2.8450363196125927,2026-09-08,,,,
2026-09-01,5401,日本製鉄,B_EARLY_CONFIRMED,700.3,7.1-EARLY-RESEARCH-R2,-3.198629158931887,2.598886191632155,-3.198629158931887,2026-09-08,,,,
2026-09-01,7202,いすゞ自動車,B_EARLY_CONFIRMED,2320.0,7.1-EARLY-RESEARCH-R2,-8.211206896551726,-0.7543103448275912,-8.211206896551726,2026-09-08,,,,
2026-09-01,1963,日揮ホールディングス,B_EARLY_CONFIRMED,2379.0,7.1-EARLY-RESEARCH-R2,-0.5044136191677207,2.1437578814627933,-2.732240437158473,2026-09-08,,,,
2026-09-02,8766,東京海上ホールディングス,B_EARLY_CONFIRMED,7775.0,7.1-EARLY-RESEARCH-R2,-0.9517684887459854,4.655948553054667,-0.9517684887459854,2026-09-09,,,,
2026-09-02,5401,日本製鉄,B_EARLY_CONFIRMED,691.5,7.1-EARLY-RESEARCH-R2,-2.255965292841655,3.90455531453362,-2.979031091829365,2026-09-09,,,,
2026-09-02,2432,ディー・エヌ・エー,B_EARLY_CONFIRMED,2608.5,7.1-EARLY-RESEARCH-R2,-4.581176921602459,0.7858922752539854,-4.581176921602459,2026-09-09,,,,
2026-09-02,5020,ＥＮＥＯＳホールディングス,B_EARLY_CONFIRMED,1345.0,7.1-EARLY-RESEARCH-R2,8.475836431226757,8.959107806691446,-0.7063197026022316,2026-09-09,,,,
2026-09-02,8306,三菱ＵＦＪフィナンシャル・グループ,B_EARLY_CONFIRMED,3684.0,7.1-EARLY-RESEARCH-R2,-2.25298588490771,3.0130293159609023,-2.687296416938112,2026-09-09,,,,
2026-09-02,8058,三菱商事,B_EARLY_CONFIRMED,4860.0,7.1-EARLY-RESEARCH-R2,3.662551440329209,5.411522633744847,-0.5555555555555536,2026-09-09,,,,
2026-09-02,8316,三井住友フィナンシャルグループ,B_EARLY_CONFIRMED,6971.0,7.1-EARLY-RESEARCH-R2,-2.4386745086788175,3.0124802754267765,-2.4386745086788175,2026-09-09,,,,
2026-09-02,1963,日揮ホールディングス,B_EARLY_CONFIRMED,2352.0,7.1-EARLY-RESEARCH-R2,3.741496598639449,4.7406462585034115,-1.5093537414965996,2026-09-09,,,,
2026-09-02,6473,ジェイテクト,B_EARLY_CONFIRMED,2145.0,7.1-EARLY-RESEARCH-R2,-5.011655011655014,4.592074592074602,-7.622377622377618,2026-09-09,,,,
2026-09-02,8031,三井物産,B_EARLY_CONFIRMED,5119.0,7.1-EARLY-RESEARCH-R2,0.7227974213713573,4.180504004688412,-2.520023442078534,2026-09-09,,,,
2026-09-02,4183,三井化学,B_EARLY_CONFIRMED,2244.0,7.1-EARLY-RESEARCH-R2,-4.590017825311943,3.542780748663099,-6.149732620320858,2026-09-09,,,,
2026-09-02,9735,セコム,A_EARLY,6474.0,7.1-EARLY-RESEARCH-R2,-2.9657089898053712,0.13901760889711845,-4.386777880753789,2026-09-09,,,,
2026-09-02,8750,第一ライフグループ,A_EARLY,1846.0,7.1-EARLY-RESEARCH-R2,-2.275189599133265,3.8461538461538547,-3.4127843986998863,2026-09-09,,,,
2026-09-03,5406,神戸製鋼所,B_EARLY_CONFIRMED,2050.0,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-03,6770,アルプスアルパイン,B_EARLY_CONFIRMED,2278.5,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-03,1963,日揮ホールディングス,B_EARLY_CONFIRMED,2374.0,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-03,8766,東京海上ホールディングス,B_EARLY_CONFIRMED,7958.0,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-03,5401,日本製鉄,B_EARLY_CONFIRMED,704.6,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-03,5020,ＥＮＥＯＳホールディングス,B_EARLY_CONFIRMED,1372.0,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-04,5020,ＥＮＥＯＳホールディングス,B_EARLY_CONFIRMED,1345.5,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-04,8750,第一ライフグループ,B_EARLY_CONFIRMED,1877.5,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-04,5401,日本製鉄,B_EARLY_CONFIRMED,691.9,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-04,9602,東宝,B_EARLY_CONFIRMED,1601.0,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-04,8058,三菱商事,B_EARLY_CONFIRMED,4902.0,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-04,8053,住友商事,B_EARLY_CONFIRMED,1820.0,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-04,3382,セブン＆アイ・ホールディングス,B_EARLY_CONFIRMED,2060.5,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-04,1963,日揮ホールディングス,B_EARLY_CONFIRMED,2344.0,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-04,4183,三井化学,B_EARLY_CONFIRMED,2224.0,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-04,8766,東京海上ホールディングス,B_EARLY_CONFIRMED,7976.0,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-04,8267,イオン,B_EARLY_CONFIRMED,1409.0,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-07,5401,日本製鉄,B_EARLY_CONFIRMED,697.5,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-09,9023,東京地下鉄,B_EARLY_CONFIRMED,1526.0,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-09,1802,大林組,B_EARLY_CONFIRMED,3108.0,7.1-EARLY-RESEARCH-R2,,,,,,,,
2026-09-09,6594,ニデック,A_EARLY,2591.0,7.1-EARLY-RESEARCH-R2,,,,,,,,
