date,model_version,code,name,ticker,close,ver6_score,ver6_rank_number,ver6_rank_letter,ver6_signal,ver6_selected,quality_gate,rsi,return_1d,return_5d_past,return_20d_past,momentum_acceleration,ma25_distance,drawdown_60d_high,atr14,signal_id,signal_start_date,signal_start_price,signal_age,days_outside_gate,first_signal_return,previous_ver6_rank,rank_velocity,score_velocity,phase,action,ver7_entry,buy_zone_low,buy_zone_high,ver6_stop,ver6_take_profit,atr_stop,swing_stop
2026-08-19,7.0,8795,T&Dホールディングス,8795.T,4738.0,89.9,66,E,対象外,False,False,39.7,-3.88,-3.56,-5.16,-2.27,-4.86,-8.46,133.28,,,,,0,,31.0,-35.0,-12.0,,SKIP,False,4596.0,4833.0,4359.0,5449.0,4538.1,4675.5
2026-08-19,7.0,5401,日本製鉄,5401.T,677.9,89.3,68,E,対象外,False,False,62.3,-2.26,-1.88,13.25,-5.19,5.1,-2.81,16.83,,,,,0,,106.0,38.0,6.799999999999997,,SKIP,False,658.0,691.0,624.0,780.0,652.7,587.9
2026-08-19,7.0,9202,ANAホールディングス,9202.T,3026.0,89.3,69,E,対象外,False,False,44.8,-0.46,-1.69,-0.85,-1.48,-1.78,-6.05,61.43,,,,,0,,34.0,-35.0,-11.600000000000009,,SKIP,False,2935.0,3087.0,2784.0,3480.0,2933.9,2868.6
2026-08-19,7.0,9001,東武鉄道,9001.T,2961.0,88.4,70,E,対象外,False,False,48.6,-0.05,-0.34,-3.27,0.48,-1.58,-7.41,62.49,,,,,0,,82.0,12.0,0.5,,SKIP,False,2872.0,3020.0,2724.0,3405.0,2867.3,2870.1
2026-08-19,7.0,7203,トヨタ自動車,7203.T,2941.0,88.0,71,E,対象外,False,False,48.0,-2.68,-1.95,-0.12,-1.92,-1.13,-8.78,74.92,,,,,0,,78.0,7.0,-1.4000000000000057,,SKIP,False,2853.0,3000.0,2706.0,3382.0,2828.6,2855.2
2026-08-19,7.0,9104,商船三井,9104.T,6966.0,88.0,72,E,対象外,False,False,80.0,1.24,12.97,22.86,7.26,15.63,0.0,178.69,,,,,0,,87.0,15.0,0.5999999999999943,,SKIP,False,6757.0,7105.0,6409.0,8011.0,6698.0,5629.7
2026-08-19,7.0,3103,ユニチカ,3103.T,1519.0,87.2,73,E,対象外,False,False,64.1,0.4,37.84,71.83,19.88,45.05,-8.77,149.68,,,,,0,,80.0,7.0,-2.0999999999999943,,SKIP,False,1473.0,1549.0,1397.0,1747.0,1294.5,737.3
2026-08-19,7.0,6178,日本郵政,6178.T,2307.0,86.9,74,E,対象外,False,False,43.8,-4.0,-2.33,-4.61,-1.18,-3.79,-8.51,61.61,,,,,0,,36.0,-38.0,-13.5,,SKIP,False,2238.0,2353.0,2122.0,2653.0,2214.6,2256.2
2026-08-19,7.0,2802,味の素,2802.T,5280.0,86.6,75,E,対象外,False,False,48.0,-4.61,-3.23,0.53,-3.36,0.63,-14.49,235.78,,,,,0,,25.0,-50.0,-16.30000000000001,,SKIP,False,5122.0,5386.0,4858.0,6072.0,4926.3,4697.4
2026-08-19,7.0,7733,オリンパス,7733.T,2131.5,86.5,76,E,対象外,False,False,73.7,0.73,2.7,21.45,-2.67,13.28,0.0,65.93,,,,,0,,102.0,26.0,3.5,,SKIP,False,2068.0,2174.0,1961.0,2451.0,2032.6,1694.5
2026-08-19,7.0,9503,関西電力,9503.T,2360.0,86.2,77,E,対象外,False,False,47.7,-1.61,-0.51,0.19,-0.55,-0.88,-4.26,52.25,,,,,0,,84.0,7.0,-1.3999999999999917,,SKIP,False,2289.0,2407.0,2171.0,2714.0,2281.6,2315.9
2026-08-19,7.0,2502,アサヒグループホールディングス,2502.T,1655.0,86.2,78,E,対象外,False,False,50.6,0.36,-1.43,1.63,-1.84,-0.38,-6.84,45.39,,,,,0,,138.0,60.0,12.799999999999995,,SKIP,False,1605.0,1688.0,1523.0,1903.0,1586.9,1590.0
2026-08-19,7.0,6302,住友重機械工業,6302.T,5447.0,89.7,67,E,対象外,False,False,45.6,-7.97,-9.13,7.2,-10.93,-1.15,-9.19,234.14,,,,,0,,39.0,-28.0,-9.599999999999994,,SKIP,False,5284.0,5556.0,5011.0,6264.0,5095.8,4929.2
2026-08-19,7.0,5101,横浜ゴム,5101.T,7278.0,99.9,28,D,監視候補,False,False,43.1,-4.83,-5.39,-7.16,-3.61,-4.37,-8.09,329.64,5101_20260818_01,,7647.0,3.0,1,-4.825421734013336,6.0,-22.0,-13.299999999999995,MATURE,SKIP,False,7060.0,7424.0,6696.0,8370.0,6783.5,7077.4
2026-08-19,7.0,9433,KDDI,9433.T,2840.5,92.6,57,D,監視候補,False,False,48.0,-0.47,0.26,-1.42,0.62,-1.9,-8.61,75.1,,,,,0,,67.0,10.0,0.2999999999999971,,SKIP,False,2755.0,2897.0,2613.0,3267.0,2727.8,2765.1
